salt,salt_con,substrate1,con1,substrate2,con2,substrate3,con3,substrate4,con4,substrate5,con5,temperature,ionic
F[As-](F)(F)(F)(F)F.[Li+],7.400525,O=C1OCCO1,33.30413,CC1COC(=O)O1,26.09673,c1ccccc1,33.19862,O,0,O,0,0,3.578639
F[As-](F)(F)(F)(F)F.[Li+],7.400525,O=C1OCCO1,33.30413,CC1COC(=O)O1,26.09673,c1ccccc1,33.19862,O,0,O,0,60,4.142702
F[As-](F)(F)(F)(F)F.[Li+],8.180069,O=S1(=O)CCCC1,57.17948,COCCOCCOCCOC,15.0847,CC(C)c1ccccc1,19.55576,O,0,O,0,60,3.838849
F[As-](F)(F)(F)(F)F.[Li+],8.180069,O=S1(=O)CCCC1,57.17948,COCCOCCOCCOC,15.0847,CC(C)c1ccccc1,19.55576,O,0,O,0,0,3.152288
F[As-](F)(F)(F)(F)F.[Li+],8.180069,O=S1(=O)CCCC1,57.17948,COCCOCCOCCOC,15.0847,CC(C)c1ccccc1,19.55576,O,0,O,0,20,3.454845
F[As-](F)(F)(F)(F)F.[Li+],8.180069,O=S1(=O)CCCC1,57.17948,COCCOCCOCCOC,15.0847,CC(C)c1ccccc1,19.55576,O,0,O,0,40,3.674861
F[As-](F)(F)(F)(F)F.[Li+],8.15417,O=S1(=O)CCCC1,56.99844,COCCOCCOCCOC,15.03694,Cc1ccc(C)c(C)c1,19.81045,O,0,O,0,40,3.652246
F[As-](F)(F)(F)(F)F.[Li+],8.15417,O=S1(=O)CCCC1,56.99844,COCCOCCOCCOC,15.03694,Cc1ccc(C)c(C)c1,19.81045,O,0,O,0,0,3.11059
F[As-](F)(F)(F)(F)F.[Li+],8.15417,O=S1(=O)CCCC1,56.99844,COCCOCCOCCOC,15.03694,Cc1ccc(C)c(C)c1,19.81045,O,0,O,0,20,3.428135
F[As-](F)(F)(F)(F)F.[Li+],8.15417,O=S1(=O)CCCC1,56.99844,COCCOCCOCCOC,15.03694,Cc1ccc(C)c(C)c1,19.81045,O,0,O,0,80,3.954725
F[As-](F)(F)(F)(F)F.[Li+],7.977978,O=S1(=O)CCCC1,55.76685,COCCOCCOCCOC,14.71203,Cc1cccc(C)c1,21.54315,O,0,O,0,80,4.006894
F[As-](F)(F)(F)(F)F.[Li+],7.977978,O=S1(=O)CCCC1,55.76685,COCCOCCOCCOC,14.71203,Cc1cccc(C)c1,21.54315,O,0,O,0,60,3.884229
F[As-](F)(F)(F)(F)F.[Li+],7.977978,O=S1(=O)CCCC1,55.76685,COCCOCCOCCOC,14.71203,Cc1cccc(C)c1,21.54315,O,0,O,0,0,3.232996
F[As-](F)(F)(F)(F)F.[Li+],7.977978,O=S1(=O)CCCC1,55.76685,COCCOCCOCCOC,14.71203,Cc1cccc(C)c1,21.54315,O,0,O,0,-10,3.056905
F[As-](F)(F)(F)(F)F.[Li+],7.470706,O=C1OCCO1,42.02495,CC1COC(=O)O1,32.93027,Cc1ccccc1,17.57408,O,0,O,0,60,4.143015
F[As-](F)(F)(F)(F)F.[Li+],7.470706,O=C1OCCO1,42.02495,CC1COC(=O)O1,32.93027,Cc1ccccc1,17.57408,O,0,O,0,-20,3.190332
F[As-](F)(F)(F)(F)F.[Li+],7.470706,O=C1OCCO1,42.02495,CC1COC(=O)O1,32.93027,Cc1ccccc1,17.57408,O,0,O,0,40,3.996949
F[As-](F)(F)(F)(F)F.[Li+],7.470706,O=C1OCCO1,42.02495,CC1COC(=O)O1,32.93027,Cc1ccccc1,17.57408,O,0,O,0,20,3.818226
F[As-](F)(F)(F)(F)F.[Li+],7.948113,O=S1(=O)CCCC1,55.55808,COCCOCCOCCOC,14.65696,Cc1ccccc1C,21.83685,O,0,O,0,60,3.840733
F[As-](F)(F)(F)(F)F.[Li+],7.948113,O=S1(=O)CCCC1,55.55808,COCCOCCOCCOC,14.65696,Cc1ccccc1C,21.83685,O,0,O,0,20,3.454845
F[As-](F)(F)(F)(F)F.[Li+],7.948113,O=S1(=O)CCCC1,55.55808,COCCOCCOCCOC,14.65696,Cc1ccccc1C,21.83685,O,0,O,0,-30,2.431364
F[As-](F)(F)(F)(F)F.[Li+],4.43243,O=C1OCCO1,16.62249,CC1COC(=O)O1,13.02519,CC1CCCO1,65.91988,O,0,O,0,80,4.224015
